02,02064,,＜いも類＞じゃがいも、塊茎、皮つき、電子レンジ調理,0,85,355,77.6,2.1,1.6,0.2,Tr,0.01,0,0.01,(0),19.2,17.1,0.6,0.8,2.4,3.9,0.9,Tr,430,4,23,58,0.9,0.3,0.12,0.45,1,Tr,1,3,(0),1,6,Tr,7,1,(0),0.1,0,0,0,1,0.07,0.02,1.7,2.1,0.19,(0),15,0.33,0.6,13,0,-,-,-,-,-,-,-,-,0.5,99
02,02065,,＜いも類＞じゃがいも、塊茎、皮つき、フライドポテト（生を揚げたもの）　,0,163,682,65.2,2.7,2.0,5.6,5.3,0.40,3.21,1.50,1,25.4,23.6,0.7,1.1,2.6,4.3,1.1,1,580,6,29,78,1.6,0.4,0.14,0.55,2,0,2,4,(0),1,15,1,16,1,(0),1.1,0,2.2,0.1,11,0.09,0.03,2.3,2.7,0.22,(0),26,0.45,0.8,16,0,-,-,-,-,-,-,-,5.4,0.7,71
02,02017,191,＜いも類＞じゃがいも、塊茎、皮なし、生,10,76,318,79.8,1.8,1.3,0.1,Tr,0.02,0,0.02,(0),17.3,17.0,1.3,3.6,4.0,8.9,1.0,1,410,4,19,47,0.4,0.2,0.09,0.37,1,0,4,3,(0),Tr,2,Tr,3,Tr,(0),Tr,0,0,0,1,0.09,0.03,1.5,1.8,0.20,(0),20,0.50,0.4,28,0,-,-,-,-,-,-,-,-,0.5,-
02,02019,193,＜いも類＞じゃがいも、塊茎、皮なし、水煮　　,0,74,309,80.6,1.7,1.3,0.1,(Tr),(0.02),(0),(0.02),(0),16.9,16.0,0.5,0.9,1.7,3.1,0.7,1,340,4,16,32,0.6,0.2,0.10,0.10,0,0,2,3,(0),Tr,2,Tr,3,Tr,(0),0.1,Tr,Tr,Tr,(0),0.07,0.03,1.0,1.3,0.18,(0),18,0.41,0.3,18,0,-,-,-,-,-,-,-,-,0.4,97
02,02018,192,＜いも類＞じゃがいも、塊茎、皮なし、蒸し,5,81,338,78.8,1.9,1.5,0.3,(0.1),(0.04),(Tr),(0.03),(0),18.1,16.6,0.4,0.9,2.2,3.5,0.9,1,420,5,24,38,0.6,0.3,0.08,0.12,Tr,Tr,1,4,(0),1,4,1,5,Tr,(0),0.1,0,0,0,(0),0.08,0.03,1.0,1.3,0.22,(0),21,0.50,0.4,11,0,-,-,-,-,-,-,-,-,0.5,93
02,02066,,＜いも類＞じゃがいも、塊茎、皮なし、電子レンジ調理,6,83,347,78.0,1.9,1.5,0.1,Tr,Tr,0,0.01,(0),19.0,17.4,0.6,0.7,2.2,3.5,1.0,1,430,4,20,47,0.4,0.3,0.10,0.40,1,0,Tr,3,(0),Tr,2,Tr,2,Tr,(0),Tr,0,0,0,1,0.09,0.03,1.4,1.7,0.20,(0),17,0.47,0.4,23,0,-,-,-,-,-,-,-,-,0.5,93
02,02067,,＜いも類＞じゃがいも、塊茎、皮なし、フライドポテト（生を揚げたもの）　,0,168,705,64.2,2.7,2.0,5.9,5.5,0.41,3.33,1.55,1,26.2,25.1,0.6,1.1,2.3,3.9,1.0,1,570,5,29,78,0.5,0.4,0.14,0.48,1,0,Tr,4,(0),1,13,1,14,1,(0),1.2,0,2.3,0.1,11,0.10,0.02,2.2,2.6,0.24,(0),24,0.50,0.7,16,0,-,-,-,-,-,-,-,5.7,0.6,71
04,04001,251,あずき、全粒、乾,0,343,1434,14.2,20.8,17.4,2.0,0.8,0.24,0.06,0.50,0,59.6,46.5,5.3,2.4,17.1,24.8,3.4,1,1300,70,130,350,5.5,2.4,0.68,1.09,0,1,2,210,(0),2,8,1,9,1,(0),0.1,0.2,3.0,10.9,8,0.46,0.16,2.2,6.2,0.40,(0),130,1.02,9.6,2,0,-,-,-,-,-,-,-,-,1.2,-
04,04002,252,あずき、全粒、ゆで　　,0,146,610,63.9,8.6,7.3,0.8,(0.3),(0.10),(0.02),(0.21),(0),25.6,18.2,1.7,0.8,6.2,8.7,1.0,1,430,27,43,95,1.6,0.9,0.30,0.44,0,Tr,1,90,(0),Tr,4,Tr,4,Tr,(0),0.1,0.1,1.3,4.2,3,0.15,0.04,0.5,2.2,0.11,(0),23,0.43,3.3,Tr,0,-,-,-,-,-,-,-,-,0.3,230
04,04004,254,あずき、あん、こし生あん,0,155,649,62.0,9.8,8.3,0.6,(0.3),(0.07),(0.02),(0.15),(0),27.1,26.0,-,0.3,6.5,6.8,0.5,3,60,73,30,85,2.8,1.1,0.23,0.74,Tr,1,1,59,(0),-,-,-,0,(0),(0),0,0,1.4,3.8,7,0.02,0.05,0.1,1.8,0,(0),2,0.07,2.5,Tr,0,-,-,-,-,-,-,-,-,-,-
