06,06367,,（だいこん類）だいこん　根、皮むき、生、おろし,0,34,140,90.5,0.6,-,0.2,-,-,-,-,(0),8.0,-,1.4,3.7,5.1,0.6,30,190,63,23,19,0.3,0.3,0.02,0.06,1,Tr,(0),2,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),Tr,0.02,0.01,0.2,0.3,0.04,(0),23,0.07,0.4,7,0.1,-,0.2,-,-,-,-,-,-,-,18
06,06368,,（だいこん類）だいこん　根、皮むき、生、おろし汁,0,11,48,96.5,0.3,-,Tr,-,-,-,-,(0),2.7,-,Tr,Tr,0.1,0.4,21,140,14,9,13,0.1,0.1,0.01,0.01,3,0,(0),1,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0,0.02,0.01,0.1,0.2,0.03,(0),21,0.07,0.2,7,0.1,-,0.2,-,-,-,-,-,-,-,82
06,06369,,（だいこん類）だいこん　根、皮むき、生、おろし水洗い,0,30,127,91.4,0.6,-,0.1,-,-,-,-,(0),7.2,-,1.0,3.8,4.7,0.6,25,170,57,21,16,0.2,0.2,0.01,0.06,1,Tr,(0),2,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),Tr,0.02,0.01,0.1,0.2,0.03,(0),19,0.05,0.4,6,0.1,-,0.2,-,-,-,-,-,-,-,20
06,06370,,（トマト類）ドライトマト,0,292,1223,9.5,14.2,9.1,2.1,1.1,0.30,0.15,0.60,(0),67.3,29.2,6.4,15.3,21.7,6.9,120,3200,110,180,300,4.2,1.9,0.82,1.22,4,16,11,29,(0),17,2600,0,2600,220,(0),18.4,0.4,1.8,Tr,31,0.68,0.30,12.9,14.2,0.95,(0),120,1.08,42.7,15,0.3,-,0,-,-,-,-,-,-,3.6,-
06,06371,,れんこん　甘酢れんこん,0,71,298,80.8,0.6,0.5,0.2,-,-,-,-,(0),16.5,15.1,0.3,2.0,2.3,1.5,550,14,6,1,26,0.1,Tr,0.07,Tr,*,0,1,1,(0),(0),3,(0),3,Tr,(0),0.8,0,0,0,0,0,0,0,0.2,0,0,1,0,0.1,7,1.4,-,0,-,-,-,-,0.5,-,0.5,-
07,07042,798,（かんきつ類）オレンジ　バレンシア　果実飲料　ストレートジュース,0,42,176,87.8,0.8,0.5,Tr,-,-,-,-,Tr,11.0,9.0,0.2,0.1,0.3,0.4,1,180,9,10,20,0.1,Tr,0.04,0.02,0,0,3,1,(0),7,12,39,35,3,(0),0.2,0,0,0,(0),0.07,0.01,0.2,0.3,0.06,(0),25,0.14,0.7,22,0,-,-,-,-,-,-,-,-,1.1,-
07,07156,839,（かんきつ類）レモン　果汁、生,0,26,109,90.5,0.4,0.3,0.2,(0.1),(0.02),(0.01),(0.03),0,8.6,1.5,Tr,0,Tr,0.3,2,100,7,8,9,0.1,0.1,0.02,0.03,0,0,0,1,(0),0,0,13,6,1,(0),0.1,0,0,0,(0),0.04,0.02,0.1,0.1,0.05,(0),19,0.18,0.3,50,0,-,-,-,-,-,-,-,-,6.7,-
07,07097,872,パインアップル　生,45,53,220,85.2,0.6,0.4,0.1,(0.1),(0.01),(0.01),(0.03),0,13.7,12.6,0.2,1.0,1.2,0.4,Tr,150,11,14,9,0.2,0.1,0.11,1.33,0,0,0,Tr,(0),Tr,37,2,38,3,(0),Tr,0,0,0,1,0.09,0.02,0.2,0.3,0.10,(0),12,0.23,0.2,35,0,-,-,-,-,-,-,-,-,0.9,-
07,07177,,パインアップル　焼き,0,77,324,78.2,0.9,-,0.2,-,-,-,-,(0),20.1,17.1,0.2,1.5,1.7,0.5,Tr,190,16,18,13,0.3,0.1,0.14,1.67,0,0,Tr,1,(0),Tr,44,4,46,4,(0),0.1,0,0,0,2,0.11,0.02,0.3,0.4,0.12,(0),14,0.64,0.3,41,0,-,-,-,-,-,-,-,-,1.0,72
07,07178,,ぶどう　皮つき、生,0,64,269,81.7,0.6,0.4,0.2,0,0.02,Tr,0.02,(0),16.9,17.0,0.2,0.6,0.9,0.5,0,220,8,7,23,0.2,Tr,0.07,0.03,0,0,0,1,(0),Tr,39,Tr,39,3,(0),0.4,0,0.2,0,22,0.05,0.01,0.2,0.2,0.05,(0),19,0.04,1.0,3,0,-,-,-,-,-,0.2,-,-,0.7,-
07,07179,,マンゴー　ドライマンゴー,0,321,1344,9.3,3.1,2.3,0.7,0.3,0.11,0.14,0.07,(0),84.9,68.9,2.8,3.6,6.4,2.1,1,1100,37,57,81,0.5,0.6,0.20,0.53,2,2,1,2,(0),15,5900,280,6100,500,(0),6.8,0.2,0.1,0,16,0.27,0.21,3.4,4.0,0.43,(0),260,0.46,5.3,69,0,-,-,-,-,-,-,-,-,3.0,-
07,07176,918,りんご　皮つき、生,8,61,255,83.1,0.2,(0.1),0.3,(0.1),(0.02),(Tr),(0.05),(0),16.2,12.9,0.5,1.4,1.9,0.2,Tr,120,4,5,12,0.1,0.1,0.05,0.04,0,0,0,1,(0),0,22,10,27,2,(0),0.4,0,0,0,2,0.02,0.01,0.1,(0.1),0.04,(0),3,0.05,0.7,6,0,-,-,-,-,-,-,-,-,0.4,-
07,07180,,りんご　皮つき、焼き,0,83,346,77.2,0.2,-,0.4,-,-,-,-,(0),21.9,17.3,0.6,1.9,2.5,0.3,1,170,5,7,17,0.1,0.1,0.07,0.05,1,0,Tr,1,(0),0,32,14,39,3,(0),0.7,0,0,0,3,0.03,0.01,0.1,0.2,0.06,(0),4,0.05,0.9,7,0,-,-,-,-,-,-,-,-,0.6,67
08,08053,,しいたけ　乾しいたけ　甘煮,0,132,554,64.7,3.3,2.3,0.4,-,-,-,-,0,28.9,15.8,0.7,6.0,6.7,2.7,1000,90,13,14,44,0.7,0.9,0.09,0.25,2,3,4,10,0,0,0,0,0,0,0.2,0,0,0,0,0,0.01,0.06,0.6,1.1,0.04,Tr,11,0.10,5.5,4,2.6,-,-,-,-,-,-,-,-,Tr,-
08,08034,972,まつたけ　生,3,23,96,88.3,2.0,1.1,0.6,0.2,0.06,0.10,0.06,(0),8.2,1.6,0.3,4.4,4.7,0.9,2,410,6,8,40,1.3,0.8,0.24,0.12,3,82,14,1,0,(0),0,(0),(0),(0),0.6,(0),(0),(0),(0),0,0.10,0.10,8.0,8.3,0.15,(0),63,1.91,18.4,0,0,-,-,-,-,-,-,-,-,-,-
10,10421,,＜魚類＞とびうお　煮干し,0,358,1500,12.5,80.0,66.5,2.2,1.1,0.37,0.14,0.53,280,0.1,-,(0),(0),(0),7.5,610,1200,1200,170,1300,2.2,3.3,0.20,0.10,42,120,1,2,9,0,0,0,0,9,3.9,4.0,0,0,0,1,0,0.32,16.7,32.0,0.24,12.9,22,0.62,13.7,0,1.5,-,-,-,-,-,-,-,-,-,-
10,10422,,＜魚類＞とびうお　焼き干し,0,341,1427,11.8,73.4,60.1,3.3,1.5,0.56,0.26,0.58,300,0.1,-,(0),(0),(0),12.7,690,1100,3200,200,2300,2.7,5.4,0.23,0.26,62,140,4,4,17,0,0,0,0,17,3.3,2.4,0,0,0,1,Tr,0.32,16.1,29.0,0.21,14.7,40,0.82,14.5,0,1.8,-,-,-,-,-,-,-,-,-,-
10,10423,,＜水産練り製品＞黒はんぺん,0,125,524,70.4,11.2,9.3,2.9,2.0,0.68,0.69,0.52,35,13.7,14.0,Tr,0.9,0.9,1.9,560,110,110,17,150,1.0,0.6,0.07,0.05,13,30,2,2,4,0,Tr,0,Tr,4,4.8,0.1,0,0,0,Tr,Tr,0.10,2.4,4.6,0.10,4.8,3,0.25,4.2,0,1.4,-,-,-,-,-,-,-,-,-,-
11,11198,1676,＜畜肉類＞ぶた　［その他］　ゼラチン　　,0,344,1439,11.3,87.6,84.0,0.3,-,-,-,-,2,0,-,(0),(0),(0),0.8,260,8,16,3,7,0.7,0.1,0.01,0.03,2,7,6,2,(0),-,-,-,(0),(0),0,0,0,0,0,0,(0),(0),(0),(0.1),0,0.2,2,0.08,0.4,(0),0.7,-,-,-,-,-,-,-,-,-,-
15,15142,,＜デザート菓子類＞こんにゃくゼリー,0,66,277,83.2,0,-,0.1,-,-,-,-,0,16.4,11.6,0.8,0,0.8,0.4,58,110,15,1,37,Tr,Tr,Tr,0.01,0,0,1,0,0,0,1,Tr,2,Tr,0,0,0,0,0,0,Tr,0,Tr,Tr,Tr,0,0,0,Tr,0,0.1,-,-,-,-,-,-,-,-,-,-
16,16059,,＜アルコール飲料類＞（混成酒類）缶チューハイ　レモン風味,0,52,217,91.4,0,-,Tr,-,-,-,-,(0),2.9,1.8,Tr,Tr,0.1,Tr,10,13,1,Tr,Tr,0,0,Tr,0,0,0,0,0,(0),0,0,0,0,(0),(0),0,0,0,0,(0),0,0,0,0,0,(0),0,0,0,Tr,0,5.6,-,-,-,-,-,-,-,0.3,-
17,17130,,＜調味料類＞（だし類）あごだし,0,1,2,99.8,0.1,Tr,0,-,-,-,-,0,0,-,Tr,0,Tr,0.1,10,19,Tr,1,8,Tr,0,0,0,1,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,Tr,0.1,Tr,0,0,0,0,-,-,-,-,-,-,-,-,-,-
17,17019,2073,＜調味料類＞（だし類）かつおだし　荒節,0,2,9,99.4,0.4,0.2,Tr,-,-,-,-,0,0,-,0,0,0,0.1,21,29,2,3,18,Tr,Tr,Tr,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.01,1.4,1.4,0.02,0.4,0,0.04,0.1,0,0.1,-,-,-,-,-,-,-,-,-,-
17,17131,,＜調味料類＞（だし類）かつおだし　本枯れ節,0,2,9,99.4,0.5,0.2,0,-,-,-,-,0,Tr,-,0,0,0,0.1,21,32,Tr,3,18,Tr,Tr,0.01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1.4,1.4,0.01,0.2,Tr,Tr,0,0,0.1,-,-,-,-,-,-,-,-,-,-
17,17132,,＜調味料類＞（だし類）昆布だし　煮出し,0,6,23,98.1,0.1,0.2,0,-,-,-,-,0,1.3,-,0.1,0,0.1,0.5,73,160,5,8,4,Tr,0,0.01,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,0.01,Tr,Tr,Tr,0,1,0.01,0.1,0,0.2,-,-,-,-,-,-,-,-,-,-
17,17133,,＜調味料類＞（調味ソース類）魚醤油　いかなごしょうゆ,0,65,270,63.0,13.9,9.2,0＊,0＊,0＊,0,0,0,2.1,Tr,Tr,0,Tr,20.8,8300,480,3,14,180,0.4,1.0,0.01,0,150,43,1,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,4.6,6.1,0.09,1.0,51,0.65,17.3,0,21.2,-,-,-,-,-,-,0.2,-,0.9,-
17,17134,,＜調味料類＞（調味ソース類）魚醤油　いしる（いしり）,0,68,285,61.2,12.8,8.2,0,0,0,0,0,0,4.2,0.1,0.3,Tr,0.3,21.8,8600,260,25,53,180,1.5,4.5,1.45,0.05,61,140,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.4,3.1,0.16,3.9,66,0.98,32.4,0,21.9,-,-,-,-,-,-,Tr,-,0.4,-
17,17135,,＜調味料類＞（調味ソース類）魚醤油　しょっつる,0,29,122,69.4,6.1,4.3,0,0,0,0,0,0,1.1,Tr,0.1,Tr,0.1,23.3,9600,190,6,14,70,0.2,0.2,0.01,0,29,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.06,1.0,1.2,0.03,1.9,5,0.31,3.0,0,24.3,-,-,-,-,-,-,Tr,-,0.4,-
17,17136,,＜調味料類＞（その他）キムチの素,0,135,564,58.2,5.3,5.2,1.0,0.8,0.18,0.13,0.42,3,26.0,13.0,1.0,2.7,3.6,9.4,3600,350,29,31,52,1.3,0.3,0.12,0.16,1900,11,18,6,17,100,1500,940,2100,190,0,2.9,0.1,0.4,Tr,8,0.04,0.11,1.6,1.9,0.31,0.2,8,0.20,3.7,Tr,9.3,-,-,-,-,-,-,0.2,-,1.1,-
17,17054,2144,＜調味料類＞（その他）みりん風調味料,0,226,944,43.6,0.1,-,0,-,-,-,-,(0),55.7,39.7,(0),(0),(0),0.2,68,3,Tr,1,15,0.1,Tr,Tr,0,-,-,-,-,(0),-,-,-,(0),(0),(0),-,-,-,-,(0),Tr,0.02,0,Tr,0,0,0,0,-,0,0.2,0.3,-,-,-,-,-,0.1,-,0.1,-
17,17082,2173,＜その他＞酵母　パン酵母、圧搾,0,103,431,68.1,16.5,12.8,1.5,1.1,0.19,0.84,0.01,0,12.1,2.6,0.8,9.5,10.3,1.8,39,620,16,37,360,2.2,7.8,0.36,0.19,Tr,2,1,Tr,0,0,4,0,4,Tr,1.6,Tr,0,0,0,0,2.21,1.78,23.1,26.7,0.59,0,1900,2.29,99.4,0,0.1,-,-,-,-,-,-,-,-,-,-
18,18023,,松前漬け　しょうゆ漬,0,179,751,51.2,17.0,14.2,1.4,0.9,0.28,0.11,0.46,170,24.7,13.5,-,-,1.6,5.7,2000,310,41,59,170,0.6,1.3,0.18,0.15,10000,33,3,3,2,Tr,98,11,100,11,1.0,1.7,0,0,0,7,0.06,0.04,1.8,4.4,0.08,4.5,15,0.16,5.1,Tr,5.2,-,-,-,-,-,-,-,-,-,-
